RouteNumber,SurveyYear,intensity,onset_DOY,lat,lon
610823,2014,onset_3,188,41.33593114666667,-73.63177318666666
610920,2009,onset_1,160,42.1145,-73.638988
610920,2009,onset_2,160,42.1145,-73.638988
610920,2010,onset_1,158,42.1145,-73.638988
610920,2010,onset_2,158,42.1145,-73.638988
611122,2009,onset_1,130,41.9397776,-74.1729399
611122,2009,onset_2,130,41.9397776,-74.1729399
611122,2009,onset_3,130,41.9397776,-74.1729399
611122,2011,onset_2,94,41.9397776,-74.1729399
611122,2011,onset_3,94,41.9397776,-74.1729399
630110,2008,onset_1,56,35.1816538,-83.12262750000001
630110,2008,onset_2,56,35.1816538,-83.12262750000001
630110,2008,onset_3,56,35.1816538,-83.12262750000001
630210,2006,onset_1,54,35.1879689,-82.9597718
630211,2007,onset_1,81,35.30341226,-82.87656536
630214,2007,onset_3,58,35.4589381,-79.2695859
630224,2010,onset_1,112,34.6265867,-77.5917555
630224,2010,onset_2,112,34.6265867,-77.5917555
630224,2011,onset_2,55,34.6265867,-77.5917555
630224,2012,onset_1,170,34.6265867,-77.5917555
630323,2009,onset_1,163,34.22763668,-78.71849001
630323,2009,onset_2,163,34.22763668,-78.71849001
630323,2009,onset_3,163,34.22763668,-78.71849001
630510,2010,onset_1,113,35.04919444,-83.21027777
630510,2010,onset_2,113,35.04919444,-83.21027777
630510,2010,onset_3,113,35.04919444,-83.21027777
630511,2011,onset_3,68,35.30052141,-82.61361596
630717,2008,onset_3,46,35.25963889,-76.63625
630810,2009,onset_1,58,35.330863,-83.225204
630815,2013,onset_2,119,35.827983259999996,-78.93572754
630815,2013,onset_3,55,35.827983259999996,-78.93572754
630923,2009,onset_1,120,34.4229498,-78.2102922
630923,2009,onset_2,120,34.4229498,-78.2102922
720111,2012,onset_1,84,40.70317968,-79.81413607
720111,2012,onset_2,84,40.70317968,-79.81413607
720111,2012,onset_3,84,40.70317968,-79.81413607
720206,2011,onset_2,130,41.13982496,-77.1878583
720214,2002,onset_1,148,40.07689997,-77.13228331
720308,2006,onset_3,118,41.46309998,-75.80366667
720315,2001,onset_3,94,40.90891663,-75.18716664
720315,2002,onset_2,88,40.90891663,-75.18716664
720315,2002,onset_3,88,40.90891663,-75.18716664
720315,2003,onset_3,165,40.90891663,-75.18716664
720504,2003,onset_3,163,42.00215879,-79.82734995
800103,2011,onset_3,78,35.12121419,-81.38783587
800107,2009,onset_1,58,34.613803759999996,-81.54751885
800107,2009,onset_2,58,34.613803759999996,-81.54751885
800107,2009,onset_3,58,34.613803759999996,-81.54751885
800107,2012,onset_2,139,34.613803759999996,-81.54751885
800107,2012,onset_3,139,34.613803759999996,-81.54751885
800213,2013,onset_3,37,33.294426,-80.654946
800407,2013,onset_1,40,34.39245822,-81.39863346
800407,2013,onset_2,40,34.39245822,-81.39863346
800407,2013,onset_3,40,34.39245822,-81.39863346
800507,2012,onset_1,139,34.62563104,-81.48450734
800507,2012,onset_2,139,34.62563104,-81.48450734
800512,2009,onset_3,49,33.66105556,-81.45675
820403,2015,onset_1,68,36.542136,-87.17334
820403,2015,onset_2,68,36.542136,-87.17334
820403,2015,onset_3,68,36.542136,-87.17334
820513,2007,onset_2,73,35.52315165,-87.21449167
820513,2007,onset_3,73,35.52315165,-87.21449167
870104,1997,onset_3,121,44.2336192,-73.0319188
880104,2009,onset_1,70,38.74476,-78.04117
880104,2009,onset_2,70,38.74476,-78.04117
880104,2009,onset_3,70,38.74476,-78.04117
880110,2007,onset_1,82,37.22451,-80.292884
880110,2007,onset_2,82,37.22451,-80.292884
880110,2007,onset_3,82,37.22451,-80.292884
880319,2009,onset_1,77,36.910008,-80.43209
880319,2009,onset_2,77,36.910008,-80.43209
880319,2009,onset_3,77,36.910008,-80.43209
880417,2011,onset_1,64,36.96130556,-82.00972222
880417,2011,onset_2,64,36.96130556,-82.00972222
880417,2011,onset_3,64,36.96130556,-82.00972222
880417,2012,onset_1,74,36.96130556,-82.00972222
880417,2012,onset_2,74,36.96130556,-82.00972222
880417,2012,onset_3,74,36.96130556,-82.00972222
880417,2014,onset_1,73,36.96130556,-82.00972222
880417,2014,onset_2,73,36.96130556,-82.00972222
880417,2014,onset_3,73,36.96130556,-82.00972222
880504,2012,onset_1,79,38.28,-78.92314999999999
880504,2012,onset_2,79,38.28,-78.92314999999999
880504,2012,onset_3,79,38.28,-78.92314999999999
881113,2012,onset_1,154,37.05683334,-77.70844446
881404,2009,onset_1,68,38.8314388,-78.1241637
881404,2009,onset_2,68,38.8314388,-78.1241637
881404,2009,onset_3,68,38.8314388,-78.1241637
881404,2011,onset_1,75,38.8314388,-78.1241637
881404,2011,onset_2,75,38.8314388,-78.1241637
881404,2011,onset_3,75,38.8314388,-78.1241637
881604,2009,onset_3,127,38.24847,-78.59603
881604,2014,onset_1,75,38.24847,-78.59603
881604,2014,onset_2,75,38.24847,-78.59603
900111,2008,onset_2,114,38.91566668,-79.31188888
900111,2008,onset_3,114,38.91566668,-79.31188888
900205,2009,onset_3,116,39.1585522,-79.426649
900210,2003,onset_3,149,38.80849999,-80.87163889
900210,2013,onset_3,142,38.80849999,-80.87163889
900211,2008,onset_3,115,38.81798722,-79.20545055
900405,2013,onset_1,111,39.0792796,-79.4690605
