RouteNumber,year,first
720214,2011.0,73
800107,2011.0,48
800407,2011.0,46
800507,2011.0,48
820403,2011.0,49
880104,2011.0,52
880110,2011.0,53
880319,2011.0,58
880417,2011.0,55
880417,2011.0,55
880417,2011.0,55
880504,2011.0,56
881113,2011.0,49
881404,2011.0,58
881404,2011.0,58
881604,2011.0,50
900405,2011.0,93
210302,2012.0,53
210702,2012.0,53
250304,2012.0,35
250406,2012.0,35
350116,2012.0,59
350116,2012.0,59
350116,2012.0,59
350511,2012.0,68
350511,2012.0,68
350610,2012.0,68
350814,2012.0,54
360219,2012.0,73
360416,2012.0,73
360417,2012.0,73
360511,2012.0,74
360511,2012.0,74
440109,2012.0,82
440113,2012.0,80
440209,2012.0,82
440315,2012.0,81
440415,2012.0,81
440508,2012.0,106
440516,2012.0,82
460107,2012.0,53
460107,2012.0,53
460107,2012.0,53
460307,2012.0,49
460405,2012.0,54
460501,2012.0,75
460508,2012.0,51
460508,2012.0,51
460604,2012.0,56
460703,2012.0,55
460703,2012.0,55
460703,2012.0,55
460704,2012.0,58
460706,2012.0,54
470403,2012.0,75
470503,2012.0,73
500132,2012.0,77
500133,2012.0,76
500135,2012.0,76
500180,2012.0,75
500180,2012.0,75
500215,2012.0,78
500235,2012.0,76
500271,2012.0,78
500271,2012.0,78
500332,2012.0,77
500413,2012.0,78
500422,2012.0,77
500429,2012.0,76
500541,2012.0,75
500635,2012.0,75
500729,2012.0,76
500822,2012.0,78
500834,2012.0,76
501434,2012.0,76
520118,2012.0,53
580107,2012.0,78
580107,2012.0,78
580203,2012.0,81
580304,2012.0,80
580304,2012.0,80
580805,2012.0,78
590605,2012.0,61
591005,2012.0,68
591805,2012.0,68
591905,2012.0,62
592105,2012.0,61
592305,2012.0,67
610323,2012.0,73
610323,2012.0,73
610422,2012.0,73
610523,2012.0,71
610620,2012.0,76
610723,2012.0,71
610822,2012.0,73
610823,2012.0,72
610823,2012.0,72
610823,2012.0,72
610920,2012.0,75
610920,2012.0,75
611122,2012.0,74
630110,2012.0,55
630210,2012.0,54
630211,2012.0,60
