RouteNumber,year,first
630224,2001.0,40
630323,2001.0,40
630510,2001.0,47
630810,2001.0,47
630923,2001.0,40
720111,2001.0,96
720214,2001.0,93
800107,2001.0,40
800407,2001.0,40
800507,2001.0,40
820403,2001.0,46
880104,2001.0,62
880110,2001.0,56
880319,2001.0,52
880417,2001.0,52
880417,2001.0,52
880417,2001.0,52
880504,2001.0,57
881113,2001.0,45
881404,2001.0,71
881404,2001.0,71
881604,2001.0,58
900405,2001.0,98
210302,2002.0,51
210702,2002.0,50
250304,2002.0,36
250406,2002.0,35
350116,2002.0,56
350116,2002.0,56
350116,2002.0,56
350511,2002.0,67
350511,2002.0,67
350610,2002.0,67
350814,2002.0,56
360219,2002.0,77
360416,2002.0,88
360417,2002.0,87
360511,2002.0,99
360511,2002.0,99
440109,2002.0,107
440113,2002.0,105
440209,2002.0,107
440315,2002.0,103
440415,2002.0,102
440508,2002.0,125
440516,2002.0,103
460107,2002.0,52
460107,2002.0,52
460107,2002.0,52
460307,2002.0,51
460405,2002.0,53
460501,2002.0,74
460508,2002.0,48
460508,2002.0,48
460604,2002.0,57
460703,2002.0,57
460703,2002.0,57
460703,2002.0,57
460704,2002.0,62
460706,2002.0,52
470403,2002.0,89
470503,2002.0,73
500132,2002.0,104
500133,2002.0,104
500135,2002.0,103
500180,2002.0,104
500180,2002.0,104
500215,2002.0,106
500235,2002.0,103
500271,2002.0,106
500271,2002.0,106
500332,2002.0,104
500413,2002.0,105
500422,2002.0,105
500429,2002.0,104
500541,2002.0,102
500635,2002.0,103
500729,2002.0,105
500822,2002.0,106
500834,2002.0,103
501434,2002.0,104
520118,2002.0,54
580107,2002.0,98
580107,2002.0,98
580203,2002.0,108
580304,2002.0,103
580304,2002.0,103
580805,2002.0,94
590605,2002.0,57
591005,2002.0,62
591805,2002.0,66
591905,2002.0,57
592105,2002.0,57
592305,2002.0,67
610323,2002.0,74
610323,2002.0,74
610422,2002.0,75
610523,2002.0,73
610620,2002.0,89
610723,2002.0,69
610822,2002.0,75
610823,2002.0,73
610823,2002.0,73
610823,2002.0,73
610920,2002.0,75
610920,2002.0,75
611122,2002.0,91
630110,2002.0,68
630210,2002.0,68
630211,2002.0,74
630224,2002.0,39
630224,2002.0,39
630323,2002.0,39
630510,2002.0,62
630810,2002.0,66
630923,2002.0,39
720111,2002.0,73
720214,2002.0,67
800107,2002.0,42
800407,2002.0,41
800507,2002.0,42
820403,2002.0,51
880104,2002.0,62
880110,2002.0,67
880319,2002.0,67
880417,2002.0,66
880417,2002.0,66
880417,2002.0,66
880504,2002.0,67
881113,2002.0,44
881404,2002.0,65
881404,2002.0,65
881604,2002.0,66
900405,2002.0,75
210302,2003.0,74
210702,2003.0,75
250304,2003.0,36
250406,2003.0,36
350116,2003.0,76
350116,2003.0,76
350116,2003.0,76
350511,2003.0,78
350511,2003.0,78
350610,2003.0,78
350814,2003.0,75
360219,2003.0,81
360416,2003.0,78
360417,2003.0,78
360511,2003.0,82
360511,2003.0,82
440109,2003.0,119
440113,2003.0,118
440209,2003.0,120
440315,2003.0,118
440415,2003.0,119
440508,2003.0,125
440516,2003.0,119
460107,2003.0,76
460107,2003.0,76
460107,2003.0,76
460307,2003.0,76
460405,2003.0,78
460501,2003.0,85
460508,2003.0,68
460508,2003.0,68
460604,2003.0,78
460703,2003.0,78
460703,2003.0,78
460703,2003.0,78
460704,2003.0,80
460706,2003.0,76
470403,2003.0,88
470503,2003.0,87
500132,2003.0,90
500133,2003.0,85
500135,2003.0,83
500180,2003.0,83
500180,2003.0,83
500215,2003.0,104
500235,2003.0,83
500271,2003.0,104
500271,2003.0,104
500332,2003.0,91
500413,2003.0,102
500422,2003.0,101
500429,2003.0,85
500541,2003.0,84
500635,2003.0,83
500729,2003.0,91
500822,2003.0,103
500834,2003.0,83
501434,2003.0,84
520118,2003.0,67
580107,2003.0,105
580107,2003.0,105
580203,2003.0,120
580304,2003.0,110
580304,2003.0,110
580805,2003.0,105
590605,2003.0,81
591005,2003.0,81
591805,2003.0,81
591905,2003.0,80
592105,2003.0,80
592305,2003.0,82
610323,2003.0,86
610323,2003.0,86
610422,2003.0,87
610523,2003.0,85
610620,2003.0,102
610723,2003.0,84
610822,2003.0,87
610823,2003.0,86
610823,2003.0,86
610823,2003.0,86
610920,2003.0,87
610920,2003.0,87
611122,2003.0,105
630110,2003.0,66
630210,2003.0,67
630211,2003.0,71
630224,2003.0,42
630224,2003.0,42
630323,2003.0,41
630510,2003.0,64
630810,2003.0,65
630923,2003.0,41
720111,2003.0,81
720214,2003.0,82
800107,2003.0,44
800407,2003.0,43
800507,2003.0,43
820403,2003.0,64
880104,2003.0,77
880110,2003.0,74
880319,2003.0,72
880417,2003.0,68
880417,2003.0,68
880417,2003.0,68
880504,2003.0,77
881113,2003.0,64
881404,2003.0,78
881404,2003.0,78
881604,2003.0,76
900405,2003.0,88
210302,2004.0,63
210702,2004.0,63
250304,2004.0,37
250406,2004.0,36
350116,2004.0,64
350116,2004.0,64
350116,2004.0,64
350511,2004.0,65
350511,2004.0,65
350610,2004.0,65
350814,2004.0,62
360219,2004.0,83
360416,2004.0,84
360417,2004.0,80
